"instPkgs" "instVers"
"quickPlot" "0.1.6.9000"
"R.devices" "2.16.1"
"R.methodsS3" "1.7.1"
"R.oo" "1.23.0"
"R.utils" "2.9.2"
"R6" "2.4.1"
"RandomFields" "3.3.7"
"RandomFieldsUtils" "0.5.3"
"RApiSerialize" "0.1.0"
"rappdirs" "0.3.1"
"raster" "3.1-5"
"rasterVis" "0.47"
"rcmdcheck" "1.3.3"
"RColorBrewer" "1.1-2"
"Rcpp" "1.0.4.6"
"RcppArmadillo" "0.9.800.3.0"
"RcppEigen" "0.3.3.7.0"
"RcppGSL" "0.3.7"
"RcppZiggurat" "0.1.5"
"RCurl" "1.98-1.1"
"readr" "1.3.1"
"readxl" "1.3.1"
"rematch" "1.0.1"
"rematch2" "2.1.0"
"remotes" "2.1.1"
"reprex" "0.3.0"
"reproducible" "1.1.0"
"Require" "0.0.1.9005"
"reshape2" "1.4.3"
"revdepcheck" "1.0.0.9001"
"rex" "1.1.2"
"Rfast" "1.9.9"
"rgdal" "1.4-8"
"rgeos" "0.5-2"
"rgexf" "0.15.3"
"RgoogleMaps" "1.4.5.2"
"rhub" "1.1.1"
"rio" "0.5.16"
"rJava" "0.9-11"
"rjson" "0.2.20"
"rlang" "0.4.5"
"rmapshaper" "0.4.3"
"rmarkdown" "2.0"
"Rook" "1.1-1"
"roxygen2" "7.1.0"
"RPostgres" "1.2.0"
"rprojroot" "1.3-2"
"RSQLite" "2.2.0"
"rstudioapi" "0.11"
"rvcheck" "0.1.7"
"rversions" "2.0.1"
"rvest" "0.3.5"
"rWBclimate" "0.1.5.91"
"scales" "1.1.0"
"scam" "1.2-5"
"selectr" "0.4-2"
"sessioninfo" "1.1.1"
"sf" "0.8-0"
"shape" "1.4.4"
"shiny" "1.4.0"
"shinyBS" "0.61"
"shinycssloaders" "0.3"
"shinydashboard" "0.7.1"
"shinyjs" "1.1"
"shinyWidgets" "0.5.0"
"showtext" "0.7"
"showtextdb" "2.0"
"snow" "0.4-3"
"sourcetools" "0.1.7"
"sp" "1.3-2"
"SpaDES" "2.0.4"
"SpaDES.addins" "0.1.2"
"SpaDES.core" "1.0.0.9004"
"SpaDES.examples" "0.0.0.9005"
"SpaDES.experiment" "0.0.2.9000"
"SpaDES.shiny" "0.2.0"
"SpaDES.tools" "0.3.4.9000"
"SparseM" "1.78"
"spData" "0.3.2"
"spelling" "2.1"
"stars" "0.4-0"
"statmod" "1.4.34"
"stringi" "1.4.4"
"stringr" "1.4.0"
"SuppDists" "1.1-9.5"
"survival" "3.1-8"
"sys" "3.3"
"sysfonts" "0.8"
"testit" "0.11"
"testthat" "2.3.2"
"tibble" "2.1.3"
"tidyr" "1.0.0"
"tidyselect" "0.2.5"
"tidyverse" "1.3.0"
"tiler" "0.2.4"
"timetk" "0.1.2"
"TimeWarp" "1.0.15"
"tinytex" "0.18"
"tkrplot" "0.0-24"
"triebeard" "0.3.0"
"trust" "0.1-7"
"tryCatchLog" "1.1.6"
"TTR" "0.23-6"
"units" "0.6-5"
"urltools" "1.7.3"
"usefun" "0.1.0"
"usethis" "1.6.1"
"utf8" "1.1.4"
"uuid" "0.1-2"
"V8" "3.0.1"
"vctrs" "0.2.1"
"velox" "0.2.0"
"versions" "0.3"
"viridis" "0.5.1"
"viridisLite" "0.3.0"
"visNetwork" "2.0.9"
"visualTest" "1.0.0"
"whisker" "0.4"
"whoami" "1.3.0"
"withr" "2.1.2"
"xfun" "0.11"
"xlsx" "0.6.1"
"xlsxjars" "0.6.1"
"XML" "3.98-1.20"
"xml2" "1.2.2"
